Nama,Singkatan
Sekolah Tinggi Ilmu Kesehatan Stella Maris Makasar,
Sekolah Tinggi Ilmu Kesehatan Tamalatea Makassar,
Sekolah Tinggi Ilmu Kesehatan Yapika,
Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,
Sekolah Tinggi Ilmu Manajemen Lasharan Jaya,
Sekolah Tinggi Ilmu Manajemen Publik Makassar,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Harapan Celebes,
Sekolah Tinggi Teknologi Dirgantara Makassar,
Sekolah Tinggi Teknologi Kelautan,
Sekolah Tinggi Teknologi Nusantara Indonesia,
Sekolah Tinggi Teologi Blessing Indonesia Makassar,
"STAI Al-Azhar Gowa, Sulawesi Selatan",
"STAI Al-Furqan Makassar, Sulawesi Selatan",
"STAI DDI Kota Makassar, Sulawesi Selatan",
STIA-Lembaga Administrasi Negara Makassar,
Sekolah Tinggi Ilmu Ekonomi Nobel Indonesia Makassar,
Sekolah Tinggi Ilmu Kesehatan Amanah Makassar,
Sekolah Tinggi Ilmu Kesehatan Gema Insan Akademik,
Sekolah Tinggi Ilmu Kesehatan Graha Edukasi,
Sekolah Tinggi Ilmu Kesehatan Nusantara Jaya,
Sekolah Tinggi Ilmu Kesehatan Panakkukang,
STIKS Tamalanrea Makassar,
STIM LPI Makassar,
STIMED Nusa Palapa,
STISIP 17-8-1945 Makassar,
STITEK Dharma Yadi Makassar,
STKIP Pembangunan Indonesia,
STKIP YPUP Makassar,
STMIK AKBA,
STMIK Dipanegara Makassar,
STMIK Handayani Makassar,
STMIK Profesional Makassar,
Sekolah Tinggi Teologi  BISANRY MAKASSAR,
Sekolah Tinggi Teologi  INTIM Makassar,
Universitas 45 Makassar,
Universitas Atma Jaya Makassar,
Universitas Dipa Makassar,
Universitas Hasanuddin,
Universitas Islam Makassar,
Universitas Karya Dharma Makassar,
Universitas Kristen Indonesia Paulus,
Universitas Megarezky,
Universitas Pancasakti,
Universitas Pejuang Republik Indonesia,
Universitas Pepabri Makassar,
Universitas Teknologi Sulawesi,
Universitas Veteran Republik Indonesia,
Akademi Maritim Indonesia Veteran Makassar,
Politeknik Maritim AMI Makassar,
STMIK Kharisma Makassar,
Politeknik Informatika Nasional,
Politeknik Pariwisata Makassar,
Sekolah Tinggi Ilmu Ekonomi Makassar Bongaya,
Sekolah Tinggi Ilmu Ekonomi Tri Dharma Nusantara,
Universitas Muhammadiyah Makassar,
Akademi Kebidanan Gunung Sari Makassar,
Sekolah Tinggi Ilmu Kesehatan Mega Rezky,
Sekolah Tinggi Pariwisata Tamalatea Makassar,
Universitas Satria Makassar,
Universitas Sawerigading Makassar,
Akademi Keperawatan Makasar,
Institut Bisnis dan Keuangan Nitro,
Sekolah Tinggi Ilmu Ekonomi Patria Artha,
Sekolah Tinggi Ilmu Manajemen Nitro Makassar,
Universitas Bosowa,
Universitas Fajar,
Universitas Muslim Indonesia,
Akademi Farmasi Sandi Karsa,
Politeknik Sandi Karsa,
Sekolah Tinggi Ilmu Maritim Makassar,
Universitas Cokroaminoto Makassar,
Sekolah Tinggi Ilmu Keperawatan Gunung Sari,
Universitas Indonesia Timur,
Universitas Negeri Makassar,
STKIP Mega Rezky,
Akademi Kebidanan Andi Makkasau,
Akademi Keperawatan Fatima Pare-pare,
Akademi Sekretari Manajemen Amsir Pare-Pare,
Institut Agama Islam Negeri ParePare,
Institut Teknologi Bacharuddin Jusuf Habibie,
Sekolah Tinggi Ilmu Ekonomi Amsir Pare-pare,
Sekolah Tinggi Ilmu Hukum Amsir,
"STAI DDI Parepare, Sulawesi Selatan",
STAIN Parepare,
Universitas Muhammadiyah Pare-pare,
Institut Ilmu Sosial dan Bisnis Andi Sapada,
Akademi Kebidanan Kamanre Palopo,
Akademi Keperawatan Kamanre,
Akademi Keperawatan Sawerigading Pemda Luwu,
Akademi Maritim Palopo,
AMIK Ibnu Khaldun Palopo,
IAIN Palopo,
Institut Kesehatan dan Bisnis Kurnia Jaya Persada,
Sekolah Tinggi Ilmu Hukum Damarica Palopo,
STAIN Palopo,
Sekolah Tinggi Ilmu Kesehatan Bhakti Pertiwi Luwu Raya,
Sekolah Tinggi Ilmu Kesehatan Kurnia Jaya Persada,
Sekolah Tinggi Ilmu Kesehatan Mega Buana Palopo,
STISIP Veteran Palopo,
Universitas Andi Djemma,
Universitas Cokroaminoto Palopo,
Universitas Mega Buana Palopo,
Universitas Muhammadiyah Palopo,
Akademi Kebidanan Muhammadiyah Palopo,
Akademi Teknologi Industri Dewantara Palopo,
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,
STKIP Muhammadiyah Palopo,
Akademi Kebidanan Konawe,
Akademi Keperawatan Pemkab Konawe,
Universitas Lakidende Unaaha,
Akademi Kebidanan Paramata Raha,
Akademi Keperawatan Pemkab Muna,
Politeknik Karya Persada Muna,
Sekolah Tinggi Ilmu Kesehatan Karya Persada Muna,
Sekolah Tinggi Ilmu Pertanian Wuna Raha,
"STAI Syarif Muhammad Raha, Muna, Sulawesi Tenggara",
Sekolah Tinggi Ilmu Kesehatan RSU Daya Makassar,
Akademi Keperawatan Pemkab Buton,
Akademi Kebidanan Menara Bunda,
Akademi Keperawatan Pemkab Kolaka,
AMIK Mikenium Kolaka,
Institut Agama Islam Al Mawaddah Warrahmah Kolaka Sulawesi Tenggara,
Institut Teknologi Al Mawaddah Warrahmah Kolaka,
Politeknik Teknokrat Internasional Kolaka,
STAI Al-Mawaddah Warrahmah Kolaka,
Sekolah Tinggi Teknologi Mekongga,
Universitas 19 November Kolaka,
Universitas Sembilanbelas November Kolaka,
STAI Rawa Aopa Konawe Selatan,
Institut Teknologi dan Bisnis Muhammadiyah Wakatobi,
Sekolah Tinggi Agama Islam Wakatobi,
Sekolah Tinggi Ilmu Tarbiyah al-Hady Bombana,
Akademi Bahasa Asing Barakati Kendari,
Akademi Keperawatan PPNI Kendari,
Akademi Kesehatan Lingkungan Mandala Waluya,
Akademi Ketatalaksanaan Pelayaran Niaga dan Kepelabuhan Kendari,
Akademi Manajemen Informatika Dan Komputer Global,
Akademi Parawisata Kendari,
Akademi Teknik Kendari,
AMIK Catur Sakti Kendari,
AMIK Milan Kendari,
AMIK Yapenas Kendari,
IAIN Kendari,
"Institut Ilmu Al-Qur`an Jannatu Adnin Kendari, Sulawesi Teng",
Politeknik Indotec Kendari,
Poltekkes Kemenkes Kendari,
Sekolah Tinggi Agama Hindu Bhatara Guru Kendari Sulawesi Tenggara,
Sekolah Tinggi Ilmu Ekonomi Dharma Barata Kendari,
Sekolah Tinggi Ilmu Ekonomi Enam Enam Kendari,
Sekolah Tinggi Ilmu Kesehatan Budi Mulia,
Sekolah Tinggi Ilmu Kesehatan Karya Kesehatan,
Sekolah Tinggi Ilmu Komputer 22 Januari Kendari,
Sekolah Tinggi Ilmu Pertanian Kendari,
STAIN Sultan Qaimuddin Kendari,
STIMIK Bina Bangsa,
STMIK Catur Sakti Kendari,
Universitas Halu Oleo,
Universitas Mandala Waluya,
Universitas Sulawesi Tenggara,
Akademi Kebidanan Pelita Ibu Kendari,
Sekolah Tinggi Ilmu Kesehatan Mandala Waluya Kendari,
Sekolah Tinggi Ilmu Kesehatan Pelita Ibu,
Akademi Analis Kesehatan Kendari,
Akademi Farmasi Bina Husada Kendari,
Akademi Kesehatan Gigi Kendari,
Institut Teknologi dan Kesehatan Avicenna,
Sekolah Tinggi Ilmu Kesehatan Avicenna,
Universitas Nahdlatul Ulama Sulawesi Tenggara,
Politeknik Bina Husada Kendari,
Universitas Muhammadiyah Kendari,
Akademi Kebidanan Buton Raya,
Akademi Kebidanan Yayasan Kesehatan Nasional,
Akademi Tenaga Kesehatan Baubau,
Institut Kesehatan dan Teknologi Buton Raya,
Politeknik Baubau,
"STAI YPIQ Baubau, Sulawesi Tenggara",
Sekolah Tinggi Ilmu Kesehatan IST Buton,
STKIP Pelita Nusantara Buton,
Universitas Dayanu Ikhsanuddin,
Universitas Muhammadiyah Buton,
Universitas Muslim Buton,
Sekolah Tinggi Ilmu Syariah al-Syaikh Abdul Wahid Bau-Bau,
Sekolah Tinggi Ilmu Hukum Said Perintah,
Sekolah Tinggi Ilmu Sosial Ilmu Politik Kebangsaan,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Samaritan,
Sekolah Tinggi Perikanan Hatta-sjahrir,
Sekolah Tinggi Teologi Injili Indonesia Ambon,
"STAI Said Perintah Masohi, Maluku Tengah, Maluku",
STKIP Hatta Sjahrir,
Sekolah Tinggi Ilmu Administrasi Said Perintah,
STKIP Gotong Royong Masohi,
Politeknik Perikanan Negeri Tual,
Sekolah Tinggi Ilmu Administrasi Langgur,
Sekolah Tinggi Ilmu-Ilmu Sosial Tual,
Universitas Iqra Buru,
Sekolah Tinggi Ilmu Administrasi Saumlaki,
Sekolah Tinggi Ilmu Ekonomi Saumlaki,
Sekolah Tinggi Ilmu Hukum Saumlaki,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Saumlaki,
Sekolah Tinggi Teologi Injili Mahkota Sion Saumlaki,
Sekolah Tinggi Ilmu Kesehatan Maluku Husada,
"STAI Seram Timur Geser, Maluku",
STKIP Ita Wotu Nusa,
STKIP Hunimua,
Akademi Kebidanan Aru,
Akademi Keperawatan Rumkit Tk III Dr. J. A. Latumeten,
Akademi Maritim Maluku,
IAIN Ambon,
Institut Agama dan Keagamaan Oikumene Indonesia Timur Ambon,
Institut Agama Kristen Negeri Ambon,
Institut Teknologi dan Bisnis Stikom Ambon,
Politeknik Negeri Ambon,
Poltekkes Kemenkes Maluku,
Sekolah Tinggi Ilmu Administrasi Trinitas,
Sekolah Tinggi Ilmu Ekonomi Manajemen Rutu Nusa,
Sekolah Tinggi Ilmu Komputer Ambon,
Sekolah Tinggi Teologi Bethel Ambon,
STAK Negeri Ambon,
STIA Abdul Azis Kataloka,
Sekolah Tinggi Ilmu Kesehatan Pasapua Ambon,
STPAK St. Yohanes Penginjil Ambon,
Universitas Kristen Indonesia Maluku,
Universitas Muhammadiyah Maluku,
Universitas Darussalam Ambon,
Universitas Pattimura,
Sekolah Tinggi Ilmu Hukum Muhammad Thaha Tual,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Persada Evav Tual,
"STIT As-Salama Tual Maluku Tenggara, Maluku",
Sekolah Tinggi Ilmu Administrasi Darul Rachman Tual,
Sekolah Tinggi Ilmu Ekonomi Umel,
Akademi Kebidanan Pemprov Bali singaraja,
Sekolah Tinggi Ilmu Bahasa Hita Widya Singaraja,
Sekolah Tinggi Ilmu Kesehatan Majapahit Singaraja,
Sekolah Tinggi Teologi Krestotes Indonesia Bali,
STAH Negeri Mpu Kuturan Singaraja Bali,
STAI Istiqlal Buleleng Bali,
STKIP Agama Hindu Singaraja,
Universitas Panji Sakti Singaraja,
Sekolah Tinggi Ilmu Ekonomi Satya Dharma,
Sekolah Tinggi Ilmu Kesehatan Rana Wijaya,
Universitas Pendidikan Ganesha,
Sekolah Tinggi Ilmu Kesehatan Buleleng,
Institut Teknologi dan Bisnis Muhammadiyah Bali,
Politeknik Kelautan dan Perikanan Jembrana,
Sekolah Tinggi Ilmu Kesehatan Jembrana,
Sekolah Tinggi Ilmu Teknik Jembrana,
STIT Jembrana Bali,
Sekolah Tinggi Bisnis Putra Harapan,
STKIP Jembrana,
IKIP Saraswati,
Sekolah Tinggi Ilmu Kesehatan Advaita Medika Tabanan,
STISIP Margarana,
Politeknik Internasional Bali,
Universitas Tabanan,
Politeknik Negeri Bali,
Politeknik Pariwisata Bali,
Sekolah Tinggi Pariwisata Nusa Dua Bali,
Universitas Udayana,
Sekolah Tinggi Ilmu Ekonomi Triatma Mulya,
Sekolah Tinggi Ilmu Manajemen Dyana Pura,
Sekolah Tinggi Pariwisata Triatma Jaya,
Sekolah Tinggi Teologi Injili Indonesia Bali,
Sekolah Tinggi Teologi Johanes Calvin Bali,
Sekolah Tinggi Ilmu Kesehatan Bina Usada Bali,
Universitas Dhyana Pura,
Universitas Triatma Mulya,
Politeknik Transportasi Darat Bali,
Sekolah Tinggi Teknologi dan Kejuruan,
Sekolah Tinggi Ilmu Kesehatan Panca Atma Jaya,
Akademi Keperawatan Mandiri,
Institut Teknologi dan Pendidikan Markandeya Bali,
STKIP Suar Bangli,
STKIP Agama Hindu Amlapura,
Akademi Akuntansi Denpasar,
Akademi Bahasa Asing New Media,
Akademi Kebidanan Kartini Bali,
Akademi Keperawatan Kesdam IX/Udayana,
Akademi Keuangan Dan Perbankan Denpasar,
Akademi Pariwisata Denpasar,
AKTEK Radiodiagnostik Dan Radioterapi Bali,
AMIK New Media,
Institut Desain dan Bisnis Bali,
Institut Hindu Dharma Negeri Denpasar,
Institut Seni Indonesia Denpasar,
Institut Teknologi dan Bisnis STIKOM Bali,
Institut Teknologi dan Kesehatan Bali,
Politeknik Kesehatan Kartini Bali,
Poltekkes Kemenkes Denpasar,
Sekolah Tinggi Desain Bali,
Sekolah Tinggi Farmasi Mahaganesha,
Sekolah Tinggi Ilmu Administrasi Denpasar,
Sekolah Tinggi Ilmu Kesehatan Bali,
Sekolah Tinggi Ilmu Manajemen Indonesia Handayani,
Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Wira Bhakti,
Sekolah Tinggi Manajemen Informatika dan Komputer STIKOM Indonesia,
Sekolah Tinggi Manajemen Taman Pendidikan 45,
STAI Denpasar Bali,
Sekolah Tinggi Ilmu Kesehatan Wira Medika Bali,
STMIK - STIKOM,
STMIK Bandung Bali,
STMIK Denpasar,
STMIK Primakara,
Sekolah Tinggi Teologi  Pelita Hati,
Universitas Dwijendra,
Universitas Hindu Indonesia,
Universitas Pendidikan Nasional,
Universitas PGRI Mahadewa Indonesia,
Universitas Teknologi Indonesia,
Akademi Farmasi Saraswati Denpasar,
Politeknik Nasional,
Politeknik Widya Dharma Bali,
Sekolah Tinggi Bahasa Asing Saraswati,
Universitas Ngurah Rai,
Universitas Warmadewa,
Akademi Kebidanan Bali Wisnu Dharma,
Akademi Kesehatan Bintang Persada,
Institut Sains dan Teknologi Nahdlatul Ulama Bali,
Politeknik Ganesha Guru,
Sekolah Tinggi Ilmu Kesehatan Bali Wisnu Dharma Denpasar,
Sekolah Tinggi Ilmu Kesehatan Kesdam IX/Udayana,
Universitas Bali Dwipa,
IKIP PGRI Bali,
Institut Ilmu Kesehatan Medika Persada Bali,
Institut Pariwisata dan Bisnis Internasional,
Sekolah Tinggi Pariwisata Bali Internasional,
Sekolah Tinggi Teologi Kingdom Bali,
Sekolah Tinggi Ilmu Ekonomi Bali Internasional Institute of Tourism Management,
Universitas Bali Internasional,
Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,
Universitas Mahasaraswati Denpasar,
Universitas Mahendradatta,
Institut Agama Islam Nurul Hakim Kediri Lombok Barat NTB,
STAI Al-Amin Gersik Kediri Lombok Barat,
STAI Nurul Hakim Kediri Lombok Barat NTB,
STID Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat NTB,
STIT Al-Aziziyah Kapek Gunungsari Lombok Barat Nusa Tenggara,
Sekolah Tinggi Ilmu Syari'ah Darussalam Bermi,
Akademi Kebidanan Kesatria Praya,
Institut Agama Islam Qomarul Huda Bagu Paringgata Lombok Tengah,
Sekolah Tinggi Ilmu Syariah Haji Abdul Rasyid Lombok Tengah,
STIT Darussalimin Nahdlatul Wathan Praya Lombok Tengah Nusa Tenggara Barat,
STIT Manhalul Ma`arif Praya Lombok Tengah,
Institut Pendidikan Nusantara Global,
STMIK Lombok,
Politeknik Pariwisata Lombok,
Sekolah Tinggi Ilmu Kesehatan Qamarul Huda,
STKIP Qamarul Huda,
Universitas Qamarul Huda Badaruddin Bagu,
Akademi Perawat Kesehatan Provinsi NTB,
Institut Agama Islam Hamzanwadi NW Lombok Timur,
Institut Agama Islam Hamzanwadi Pancor Lombok Timur,
Institut Teknologi dan Kesehatan Aspirasi,
STAI Darul Kamal NW Kembang Kerang NTB,
STEI Hamzar Lombok Timur,
Sekolah Tinggi Ilmu Kesehatan Hamzar Memben Lombok Timur,
STIT Palapa Nusantara Lombok Nusa Tenggara Barat,
STITNU Al-Mahsuni,
STMIK Syaikh Zainuddin Nahdlatul Wathan,
Institut Studi Islam Sunan Doe,
Sekolah Tinggi Ilmu Administrasi Muhammadiyah Selong,
STKIP Hamzanwadi,
Sekolah Tinggi Teologi  Hamzanwadi,
Universitas Hamzanwadi,
Akademi Ilmu Pelayaran Nusa Tenggara,
Universitas Gunung Rinjani,
Sekolah Tinggi Ilmu Tarbiyah Sibawaihi Mutawalli,
Akademi Kebidanan Anugrah Abadi,
Akademi Keperawatan Samawa,
Sekolah Tinggi Ilmu Tarbiyah Bahana Sumbawa Barat,
STAI Nahdlatul Wathan Samawa Sumbawa Besar NTB,
STKIP Paracendekia N W Sumbawa,
Institut Ilmu Sosial dan Ilmu Budaya Samawa Rea,
Sekolah Tinggi Ilmu Kesehatan Griya Husada Sumbawa,
Universitas Teknologi Sumbawa,
Universitas Samawa,
Sekolah Tinggi Agama Islam Al-Amin Dompu NTB,
Sekolah Tinggi Ilmu Ekonomi Yapis,
STKIP Al Amin Dompu,
STKIP Yapis Dompu,
STAI Sultan Abdul Kahir Bima,
STES Harapan Bima Nusa Tenggara Barat,
STKIP Harapan Bima,
Sekolah Tinggi Ilmu Kesehatan Yahya Bima,
STKIP Taman Siswa Bima,
Sekolah Tinggi Pariwisata Soromandi Bima,
Universitas Cordova,
Sekolah Tinggi Ilmu Tarbiyah Islamiyah Nusa Tenggara Barat,
STKIP Hamzar,
Akademi Kebidanan Bhakti Kencana,
Akademi Pariwisata Mataram,
Akademi Sekretari Dan Manajemen Mataram,
IAIN Mataram,
Institut Keguruan Dan Ilmu Pendidikan Mataram,
Poltekkes Kemenkes Mataram,
Sekolah Tinggi Ilmu Administrasi Mataram,
Sekolah Tinggi Ilmu Ekonomi 45 Mataram,
Sekolah Tinggi Ilmu Ekonomi AMM,
Sekolah Tinggi Ilmu Ekonomi Nasional,
Sekolah Tinggi Ilmu Kesehatan Mataram,
Sekolah Tinggi Pariwisata Mataram,
Sekolah Tinggi Teknik Lingkungan Mataram,
Sekolah Tinggi Theologia Injili Indonesia Lombok,
STIS Darul Falah Pagutan Mataram NTB,
Sekolah Tinggi Teologi  ARASTAMAR MATARAM,
Universitas 45 Mataram,
Universitas Islam Negeri Mataram,
Universitas Nusa Tenggara Barat,
Akademi Administrasi Rumah Sakit Mataram,
Akademi Manajemen Informatika & Komputer Mataram,
IKIP Mataram,
Sekolah Tinggi Manajemen Informatika Komputer Mataram,
Sekolah Tinggi Ilmu Kesehatan Yarsi Mataram,
Universitas Mahasaraswati Mataram,
Universitas Muhammadiyah Mataram,
Universitas Nahdlatul Ulama Nusa Tenggara Barat,
Universitas Nahdlatul Wathan Mataram,
Universitas Pendidikan Mandalika,
Universitas Teknologi Mataram,
Akademi Bahasa Asing Bumi Gora Mataram,
STIBA Bumi Gora Mataram,
STMIK Bumi Gora,
Universitas Bumigora,
Akademi Kesehatan Gigi Karya Adi Husada Mataram,
Politeknik Medica Farma Husada Mataram,
Institut Agama Hindu Negeri Gde Pudja Mataram,
Sekolah Tinggi Agama Hindu Negeri Gde Pudja Mataram,
Sekolah Tinggi Ilmu Kesehatan Kusuma Bangsa,
Universitas Mataram,
Universitas Islam Al-azhar,
Akademi Kebidanan Harapan Bunda Bima,
Akademi Teknik Bima,
Institut Agama Islam Muhammadiyah Bima,
Sekolah Tinggi Ilmu Al-Qur'an Bima,
Sekolah Tinggi Ilmu Ekonomi Bima,
Sekolah Tinggi Ilmu Hukum Muhammadiyah Bima,
Sekolah Tinggi Teknik Bima,
STAI Muhammadiyah Bima,
STIS Al-Ittihad Bima Yayasan Pendidikan Al-Itihad Bima NTB,
"STIT Sunan Giri Bima, NTB",
STKIP Bima,
Akademi Kebidanan Surya Mandiri Kota Bima,
Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo,
Akademi Keperawatan Maranatha Groups,
Sekolah Tinggi Teologi Arta Wacana Kupang,
Politeknik Kelautan dan Perikanan Kupang,
Sekolah Tinggi Agama Kristen Informatika Timor,
"Sekolah Tinggi Ilmu Hukum Prof. Dr. Yohanes Usfunan, SH, MH",
Universitas Karyadarma Kupang,
Sekolah Tinggi Ilmu Kesehatan Maranatha Kupang,
Sekolah Tinggi Teologi  SOE Prov. Nusa Tenggara Timur,
STKIP Nusa Timor,
STKIP Soe,
Sekolah Tinggi Agama Kristen Arastamar Soe,
Sekolah Tinggi Pastoral St. Petrus Keuskupan Atambua,
Akademi Kebidanan Santa Elisabeth Kefamenanu,
Sekolah Tinggi Ilmu Hukum Cendana Wangi,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Surya Kasih,
Universitas Timor,
STKIP Sinar Pancasila,
Akademi Keperawatan Pemkab Belu,
Sekolah Tinggi Ilmu Sosial Dan Politik Fajar Timur,
STKIP Muhammadiyah Kalabahi,
Universitas Tribuana Kalabahi,
Sekolah Tinggi Pastoral Reinha Larantuka,
STFK Ledalero Nita Maumere,
Institut Keguruan dan Teknologi Larantuka,
Akademi Farmasi Santo Fransiskus Xaverius,
Politeknik Cristo Re,
Akademi Keperawatan ST Elisabeth Lela,
Sekolah Tinggi Filsafat Katolik Ledalero,
IKIP Muhammadiyah Maumere,
Universitas Nusa Nipa,
Akademi Bahasa Asing Santa Mary Ende,
STIPAR Ende,
STKIP Simbiosis,
Sekolah Tinggi Pembangunan Masyarakat Santa Ursula,
Universitas Flores,
Sekolah Tinggi Pertanian Flores Bajawa,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Citra Bakti,
Sekolah Tinggi Ilmu Kesehatan Santu Paulus Ruteng,
STIPAS St.Sirilus Ruteng,
Sekolah Tinggi Ilmu Ekonomi Karya,
STKIP Santu Paulus,
Universitas Katolik Indonesia Santu Paulus Ruteng,
Sekolah Tinggi Teologi Terpadu Waingapu,
Sekolah Tinggi Teologi  Gereja Kristen Sumba,
Sekolah Tinggi Ilmu Ekonomi Wirawacana,
Universitas Kristen Wira Wacana Sumba,
Kirchliche Hochschule Wuppertal/Bethel,
Akademi Keperawatan Waikabubak Pemda Sumba Barat,
Universitas Nusa Lontar Rote,
Politeknik Elbajo Commodus,
Institut Nasional Flores,
STKIP Nusa Bunga Floresta,
Politeknik St Wilhelmus,
Sekolah Tinggi Manajemen Informatika Komputer Stella Maris Sumba,
STKIP Weetebula,
Akademi Koperasi Indonesia Ratu Jelita,
Akademi Pariwisata Kupang,
Akademi Pekerjaan Sosial Kupang,
Akademi Teknik Kupang,
Institut Teknologi Alberth Foenay,
Politeknik Negeri Kupang,
Politeknik Pertanian Negeri Kupang,
Poltekkes Kemenkes Kupang,
Sekolah Tinggi Agama Islam Kupang,
Sekolah Tinggi Agama Kristen Kupang Provinsi Nusa Tenggara Timur,
Sekolah Tinggi Ilmu Tarbiyah Kupang,
Sekolah Tinggi Ilmu Teknologi Kelautan,
Sekolah Tinggi Teologi Injili dan Kejuruan Kupang,
STIPAS Keuskupan Agung Kupang,
STIT Kelautan Nusantara,
STKIP Indonesia Kupang,
Sekolah Tinggi Teologi  Abalbalat Wesleyan Kupang,
Sekolah Tinggi Teologi  INJILI INDONESIA KUPANG,
Universitas Nusa Cendana,
Universitas PGRI Nusa Tenggara Timur,
Universitas San Pedro,
Sekolah Tinggi Ilmu Kesehatan Nusantara,
Sekolah Tinggi Manajemen Informatika Komputer Uyelindo Kupang,
STAK Negeri Kupang,
Sekolah Tinggi Ilmu Kesehatan Citra Husada Mandiri,
STKIP Citra Bina Nusantara,
Universitas Aryasatya Deo Muri,
Universitas Citra Bangsa,
Universitas Muhammadiyah Kupang,
Universitas Persatuan Guru 1945 NTT,
Sekolah Tinggi Bahasa Asing Cakrawala Nusantara,
Sekolah Tinggi Bahasa Asing Mentari Kupang,
Sekolah Tinggi Ilmu Ekonomi Oemathonis,
Sekolah Tinggi Ilmu Ekonomi Putra Timor,
Sekolah Tinggi Ilmu Manajemen Kupang,
Sekolah Tinggi Informatika Komputer Artha Buana,
STIMIK Kupang,
Universitas Kristen Artha Wacana,
Akademi Keuangan Dan Perbankan Effata Kupang,
Universitas Katolik Widya Mandira Kupang,
Institut Agama Islam Negeri Fattahul Muluk Papua,
Institut Seni Budaya Indonesia Tanah Papua,
Institut Teknologi dan Bisnis Karya Pembangunan Papua,
Sekolah Tinggi Ifta Jayapura,
Sekolah Tinggi Ilmu Kesehatan Jayapura,
"Sekolah Tinggi Teologi Baptis Papua, Abepura",
Sekolah Tinggi Teologi Walter Post Jayapura Papua,
STAK Negeri Sentani,
STAK Oikumene Noseni Biak Numfor,
STIMIK Sepuluh Nopember Jayapura,
STIPER Santo Thomas Aquinas Jayapura,
Sekolah Tinggi Teologi  LEVINUS RUMASEB SENTANI,
The University Of The Arts,
Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura,
Sekolah Tinggi Teologi  Gereja Injili di Indonesia,
Sekolah Tinggi Teologi  Advent Papua,
Akademi Pariwisata Petrus Kafiar Biak,
Akademi Perikanan Kamasan Biak,
Akademi Teknik Biak,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Biak,
Iisip Yapis Biak,
Sekolah Tinggi Ilmu Hukum Biak-Papua,
Sekolah Tinggi Agama Kristen Ampari Serui,
Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Papua,
Sekolah Tinggi Teologi  PAPUA di Supiori,
Akademi Keperawatan Jayapura,
Akademi Keperawatan RS Marthen Indey,
Akademi Manajemen Indonesia Jayapura,
Akademi Pariwisata 45 Jayapura,
Akademi Sekretari Dan Manajemen Indonesia Jayapura,
AMIK Umel Mandiri,
Politeknik Penerbangan Jayapura,
Sekolah Tinggi Bio Sains Swadiri,
Sekolah Tinggi Filsafat Theologia Fajar Timur Jayapura,
Sekolah Tinggi Ilmu Ekonomi Port Numbay Jayapura,
Sekolah Tinggi Ilmu Hukum Umel Mandiri,
Sekolah Tinggi Manajemen dan Ilmu Komputer Umel Mandiri,
Sekolah Tinggi Pastoral Kateketik Santo Yohanes Rasul Jayapura,
Sekolah Tinggi Seni Papua,
STAIN Al-Fatah Jayapura,
STFT Gki Izaak Samuel Kijne Jayapura,
STFT GKI Izaak Samuel Kijne Jayapura,
Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Jayapura,
STIKOM Muhammadiyah Jayapura,
STISIP Silas Papare Jayapura,
Universitas Cenderawasih,
Universitas Muhammadiyah Papua,
Universitas Ottow Geissler,
Poltekkes Kemenkes Jayapura,
Universitas Yapis Papua,
Universitas Sains Dan Teknologi Jayapura,
Politeknik Kesehatan Provinsi Bengkulu,
Universitas Ratu Samban,
STAIN Curup,
Institut Agama Islam Negeri Curup,
Sekolah Tinggi Ilmu Pertanian Rejang Lebong,
Universitas Pat Petulai,
Politeknik Raflesia,
Akademi Kebidanan Manna,
Sekolah Tinggi Ilmu Tarbiyah Makrifatul Ilmi Bengkulu Selatan,
"STIT Al-Quraniyah, Manna, Bengkulu Selatan",
STAI Miftahul Ulum Mukomuko,
Akademi Akuntansi dan Manajemen Pembangunan,
Akademi Analis Kesehatan Harapan Bangsa,
Akademi Farmasi Yayasan Al-Fatah,
Akademi Kebidanan Dehasen Bengkulu,
Akademi Kebidanan Pemprov Bengkulu,
Akademi Keperawatan Pemprov Bengkulu,
Akademi Kesehatan Yayasan Sapta Bakti Bengkulu,
IAIN Bengkulu,
Sekolah Tinggi Ilmu Administrasi Bengkulu,
Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,
Sekolah Tinggi Ilmu Kesehatan Sapta Bakti,
Sekolah Tinggi Ilmu Teknik Trisula,
